BedBugs,BlockedExits,BlueBinRequest,BuildingPermit,BulkHouseholdItems,CertofUseBar,CertofUseFoodStore,CertofUseRestaurant,CleanUpRqstPublicProp,ComplaintReqstGeneral,ConstDemoDebris,CornersNeedSnowRemoval,Demolition,ElectricalHazard,FaultyEquipment,FireAlarm,FireSafety,GraffitiPrivateProperty,GraffitiPublicProperty,Heating,IllegalTrashSetOut,Infestation,MedicalWasteRefused,NoSmokeDetectors,Other,OutdoorIllegalBurning,OverCapacity,OvergrownVegPublic,OvergrowthPrivateOcc,PreventativeCodeEnforce,ExteriorPropertyMaintenance,InteriorPropertyMaintenance,RepairCreekFencing,SanitationSpecialReqst,SewerBackUp,SprinklerSystem,StructuralIssues,SuppressionNotSprinkler,TenantSafetyConcerns,TrashDebrisPrivateOcc,TreeInspectProblemReq,TreeLimbStumpRemoval,UnsafeConditions,VacantHouseOpentoEntry,VacantLotOvergrown,VacantLotTrashDebris,VacantStructureHazard,VacantIllegalOccupancy,WaterShopAllComplaints,YardWaste,ZoningViolations,AllComplaints
76,,,66,,253,37,218,,13,,,114,,31,70,22,,,6,5,21,,,,,,,6,,3,4,,,,112,,,,1,,,40,,46,,,,,,472,76
68,,,8,,253,18,218,,13,,,26,,27,70,14,,,6,6,7,,,,,,,5,,3,5,,,,112,,,,55,,,40,,30,,,,,,101,68
75,,,6,,253,18,218,,15,,,7,,27,62,88,,,5,5,8,,,,,,,6,,5,5,,,,112,,,,55,,,40,,30,,,,,,6,75
75,,,36,,253,18,218,,23,,,6,,20,464,88,,,5,5,7,,,,,,,8,,4,5,,,,252,,,,6,,,32,,95,,,,,,6,75
75,,,91,,140,18,218,,13,,,324,,19,464,88,,,110,3,6,,,,,,,16,,6,19,,,,252,,,,6,,,32,,95,,,,,,300,75
4,,,31,,108,18,68,,6,,,11,,19,464,88,,,,4,18,,,,,,,16,,8,3,,,,,,,,5,,,27,,95,,,,,,517,4
4,,,39,,104,35,56,,6,,,11,,19,80,88,,,,4,51,,,,,,,6,,8,11,,,,,,,,5,,,11,,7,,,,,,517,4
4,,,39,,104,19,56,,6,,,11,,94,80,88,,,,4,9,,,,,,,7,,23,6,,,,,,,,5,,,11,,7,,,,,,517,4
68,,,39,,104,19,56,,4,,,10,,,80,45,,,,37,9,,,,,,,5,,9,7,,,,,,,,10,,,11,,66,,,,,,15,68
7,,,86,,104,16,56,,4,,,7,,,503,45,,,,12,19,,,,,,,8,,6,12,,,,,,,,1,,,14,,24,,,,,,576,7
7,,,21,,147,8,56,,4,,,11,,,503,45,,,,3,23,,,,,,,4,,8,4,,,,,,,,2,,,79,,22,,,,,,196,7
11,,,4,,31,10,56,,6,,,4,,,503,14,,,,9,6,,,,,,,4,,11,4,,,,,,,,12,,,79,,103,,,,,,52,11
7,,,4,,19,462,24,,6,,,139,,,70,6,,,,9,6,,,,,,,4,,11,4,,,,,,,,11,,,67,,57,,,,,,76,7
7,,,17,,19,462,21,,49,,,8,,,70,6,,,,6,17,,,,,,,3,,5,4,,,,,,,,7,,,57,,18,,,,,,76,7
30,,,11,,19,14,21,,5,,,7,,,25,3,,,,58,17,,,,,,,4,,42,4,,,,,,,,8,,,61,,18,,,,,,18,30
17,,,174,,7,14,600,,8,,,177,,,70,3,,,,17,17,,,,,,,5,,8,4,,,,,,,,8,,,61,,85,,,,,,13,17
10,,,174,,7,379,600,,15,,,177,,,70,3,,,,17,75,,,,,,,6,,7,4,,,,,,,,5,,,61,,21,,,,,,408,10
7,,,97,,22,169,600,,6,,,9,,,70,398,,,,6,24,,,,,,,5,,7,3,,,,,,,,5,,,61,,89,,,,,,154,7
63,,,58,,22,169,600,,33,,,13,,,41,398,,,,6,24,,,,,,,5,,22,6,,,,,,,,17,,,61,,50,,,,,,154,63
43,,,16,,22,169,72,,9,,,8,,,41,398,,,,6,5,,,,,,,17,,52,6,,,,,,,,14,,,61,,20,,,,,,348,43
5,,,16,,22,169,190,,4,,,47,,,106,132,,,,8,5,,,,,,,7,,52,6,,,,,,,,9,,,315,,496,,,,,,63,5
27,,,28,,22,169,190,,5,,,47,,,294,139,,,,3,9,,,,,,,7,,52,7,,,,,,,,8,,,315,,17,,,,,,83,27
27,,,28,,22,169,190,,5,,,47,,,49,139,,,,3,16,,,,,,,8,,6,7,,,,,,,,3,,,315,,94,,,,,,23,27
27,,,28,,196,18,190,,5,,,65,,,324,139,,,,3,37,,,,,,,15,,6,5,,,,,,,,2,,,152,,57,,,,,,9,27
116,,,9,,68,6,190,,5,,,63,,,324,139,,,,4,37,,,,,,,8,,4,5,,,,,,,,3,,,146,,7,,,,,,207,116
115,,,13,,68,6,190,,9,,,63,,,324,139,,,,10,7,,,,,,,94,,53,4,,,,,,,,3,,,74,,78,,,,,,207,115
