BedBugs,BlockedExits,BlueBinRequest,BuildingPermit,BulkHouseholdItems,CertofUseBar,CertofUseFoodStore,CertofUseRestaurant,CleanUpRqstPublicProp,ComplaintReqstGeneral,ConstDemoDebris,CornersNeedSnowRemoval,Demolition,ElectricalHazard,FaultyEquipment,FireAlarm,FireSafety,GraffitiPrivateProperty,GraffitiPublicProperty,Heating,IllegalTrashSetOut,Infestation,MedicalWasteRefused,NoSmokeDetectors,Other,OutdoorIllegalBurning,OverCapacity,OvergrownVegPublic,OvergrowthPrivateOcc,PreventativeCodeEnforce,ExteriorPropertyMaintenance,InteriorPropertyMaintenance,RepairCreekFencing,SanitationSpecialReqst,SewerBackUp,SprinklerSystem,StructuralIssues,SuppressionNotSprinkler,TenantSafetyConcerns,TrashDebrisPrivateOcc,TreeInspectProblemReq,TreeLimbStumpRemoval,UnsafeConditions,VacantHouseOpentoEntry,VacantLotOvergrown,VacantLotTrashDebris,VacantStructureHazard,VacantIllegalOccupancy,WaterShopAllComplaints,YardWaste,ZoningViolations,AllComplaints
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,7
